Date,temp,rain,production,futures,rust
12/1/1993,25.7498,208.841,2347.25,0.7865,0.00
12/8/1993,25.7498,208.841,2347.25,0.7715,0.00
12/15/1993,25.7498,208.841,2347.25,0.798,0.00
12/22/1993,25.7498,208.841,2347.25,0.763,0.00
12/29/1993,25.7498,208.841,2347.25,0.749,0.00
8/1/1994,24.2654,56.0826,2349.33,2.116,0.00
8/8/1994,24.2654,56.0826,2349.33,1.786,0.00
8/15/1994,24.2654,56.0826,2349.33,1.94,0.00
8/22/1994,24.2654,56.0826,2349.33,1.8275,0.00
8/29/1994,24.2654,56.0826,2349.33,2.1116,0.00
9/1/1994,25.5113,83.3549,2349.33,2.121,0.00
9/8/1994,25.5113,83.3549,2349.33,2.1555,0.00
9/15/1994,25.5113,83.3549,2349.33,2.124,0.00
9/22/1994,25.5113,83.3549,2349.33,2.2755,0.00
9/29/1994,25.5113,83.3549,2349.33,2.161,0.00
10/3/1994,26.1809,120.58,2349.33,2.096,0.00
10/10/1994,26.1809,120.58,2349.33,1.7975,0.00
10/17/1994,26.1809,120.58,2349.33,2.0385,0.00
10/24/1994,26.1809,120.58,2349.33,1.9675,0.00
10/31/1994,26.1809,120.58,2349.33,1.874,0.00
11/1/1994,26.0029,158.92,2349.33,1.8635,0.00
11/8/1994,26.0029,158.92,2349.33,1.89,0.00
11/15/1994,26.0029,158.92,2349.33,1.7125,0.00
11/22/1994,26.0029,158.92,2349.33,1.6035,0.00
11/29/1994,26.0029,158.92,2349.33,1.6072,0.00
12/1/1994,25.9198,196.57,2349.33,1.617,0.00
12/8/1994,25.9198,196.57,2349.33,1.6445,0.00
12/3/2007,26.1926,207.879,3247.67,1.2995,0.00
12/10/2007,26.1926,207.879,3247.67,1.335,0.00
12/17/2007,26.1926,207.879,3247.67,1.3345,0.00
12/26/2007,26.1926,207.879,3247.67,1.3365,0.00
12/31/2007,26.1926,207.879,3247.67,1.362,0.00
1/2/2008,25.541,269.327,3247.67,1.34,0.00
1/9/2008,25.541,269.327,3247.67,1.356,0.00
1/16/2008,25.541,269.327,3247.67,1.349,0.00
1/23/2008,25.541,269.327,3247.67,1.313,0.00
1/30/2008,25.541,269.327,3247.67,1.3655,0.00
11/1/1993,25.8444,179.768,2347.25,0.7755,1.00
11/8/1993,25.8444,179.768,2347.25,0.7545,1.00
11/15/1993,25.8444,179.768,2347.25,0.7385,1.00
11/22/1993,25.8444,179.768,2347.25,0.743,1.00
11/29/1993,25.8444,179.768,2347.25,0.7828,1.00
12/15/1994,25.9198,196.57,2349.33,1.504,1.00
12/22/1994,25.9198,196.57,2349.33,1.7175,1.00
12/29/1994,25.9198,196.57,2349.33,1.7385,1.00
10/2/1995,26.1695,115.498,1505.00,1.218,1.00
10/9/1995,26.1695,115.498,1505.00,1.1405,1.00
10/16/1995,26.1695,115.498,1505.00,1.259,1.00
10/23/1995,26.1695,115.498,1505.00,1.2635,1.00
10/30/1995,26.1695,115.498,1505.00,1.2055,1.00
11/1/1995,25.8871,190.862,1505.00,1.2225,1.00
11/8/1995,25.8871,190.862,1505.00,1.279,1.00
11/15/1995,25.8871,190.862,1505.00,1.2545,1.00
11/22/1995,25.8871,190.862,1505.00,1.1415,1.00
11/29/1995,25.8871,190.862,1505.00,1.0978,1.00
12/1/1995,25.8754,226.168,1505.00,1.044,1.00
12/8/1995,25.8754,226.168,1505.00,1.0155,1.00
12/15/1995,25.8754,226.168,1505.00,1.0775,1.00
12/22/1995,25.8754,226.168,1505.00,0.9635,1.00
12/29/1995,25.8754,226.168,1505.00,0.949,1.00
11/2/1998,26.0175,191.727,3063.42,1.197,1.00
11/9/2018,26.0175,191.727,3063.42,1.1965,1.00
11/16/1998,26.0175,191.727,3063.42,1.14,1.00
11/23/1998,26.0175,191.727,3063.42,1.0812,1.00
11/30/1998,26.0175,191.727,3063.42,1.1054,1.00
11/1/1999,25.8869,173.981,3964.83,1.1035,1.00
11/8/1999,25.8869,173.981,3964.83,1.109,1.00
11/15/1999,25.8869,173.981,3964.83,1.288,1.00
11/22/1999,25.8869,173.981,3964.83,1.103,1.00
11/29/1999,25.8869,173.981,3964.83,1.168,1.00
11/1/2000,25.8937,180.837,2609.17,0.739,1.00
11/8/2000,25.8937,180.837,2609.17,0.753,1.00
11/15/2000,25.8937,180.837,2609.17,0.703,1.00
11/22/2000,25.8937,180.837,2609.17,0.683,1.00
11/29/2000,25.8937,180.837,2609.17,0.7277,1.00
11/1/2001,26.4455,174.975,2613.75,0.452,1.00
11/8/2001,26.4455,174.975,2613.75,0.4575,1.00
11/15/2001,26.4455,174.975,2613.75,0.484,1.00
11/26/2001,26.4455,174.975,2613.75,0.4575,1.00
11/1/2002,26.4679,146.828,4029.33,0.64,1.00
11/8/2002,26.4679,146.828,4029.33,0.6785,1.00
11/15/2002,26.4679,146.828,4029.33,0.664,1.00
11/22/2002,26.4679,146.828,4029.33,0.677,1.00
11/3/2003,26.2583,151.721,2406.08,0.5865,1.00
11/10/2003,26.2583,151.721,2406.08,0.591,1.00
11/17/2003,26.2583,151.721,2406.08,0.5925,1.00
11/24/2003,26.2583,151.721,2406.08,0.5841,1.00
8/1/2006,25.2383,45.3446,3582.25,0.983,1.00
8/8/2006,25.2383,45.3446,3582.25,1.071,1.00
8/15/2006,25.2383,45.3446,3582.25,1.0285,1.00
8/22/2006,25.2383,45.3446,3582.25,1.082,1.00
8/29/2006,25.2383,45.3446,3582.25,1.049,1.00
2/1/2008,25.7479,242.999,3247.67,1.391,1.00
2/8/2008,25.7479,242.999,3247.67,1.472,1.00
2/15/2008,25.7479,242.999,3247.67,1.4985,1.00
2/22/2008,25.7479,242.999,3247.67,1.6015,1.00
2/29/2008,25.7479,242.999,3247.67,1.6636,1.00
3/3/2008,25.6103,282.227,3247.67,1.6755,1.00
3/10/2008,25.6103,282.227,3247.67,1.505,1.00
3/17/2008,25.6103,282.227,3247.67,1.36,1.00
3/24/2008,25.6103,282.227,3247.67,1.2875,1.00
3/31/2008,25.6103,282.227,3247.67,1.274,1.00
1/2/2018,26.6425,117,4250.00,1.302,1.00
1/9/2018,26.6425,117,4250.00,1.2515,1.00
1/16/2018,26.6425,117,4250.00,1.2045,1.00
1/23/2018,26.6425,117,4250.00,1.2095,1.00
1/30/2018,26.6425,117,4250.00,1.223,1.00
1/3/1995,26.1481,189.563,2349.33,1.6775,2.00
1/10/1995,26.1481,189.563,2349.33,1.69,2.00
1/17/1995,26.1481,189.563,2349.33,1.703,2.00
1/24/1995,26.1481,189.563,2349.33,1.666,2.00
1/31/1995,26.1481,189.563,2349.33,1.555,2.00
10/1/1998,26.3697,126.911,3063.42,1.027,2.00
10/8/1998,26.3697,126.911,3063.42,1.1145,2.00
10/15/1998,26.3697,126.911,3063.42,1.0685,2.00
10/22/1998,26.3697,126.911,3063.42,1.0675,2.00
10/29/1998,26.3697,126.911,3063.42,1.074,2.00
10/1/1999,26.015,117.683,3964.83,0.8135,2.00
10/8/1999,26.015,117.683,3964.83,0.851,2.00
10/15/1999,26.015,117.683,3964.83,1.084,2.00
10/22/1999,26.015,117.683,3964.83,0.929,2.00
10/29/1999,26.015,117.683,3964.83,1.002,2.00
10/2/2000,26.5363,107.227,2609.17,0.7935,2.00
10/9/2000,26.5363,107.227,2609.17,0.7995,2.00
10/16/2000,26.5363,107.227,2609.17,0.8565,2.00
10/23/2000,26.5363,107.227,2609.17,0.7845,2.00
10/30/2000,26.5363,107.227,2609.17,0.735,2.00
10/1/2001,26.3197,132.565,2613.75,0.474,2.00
10/8/2001,26.3197,132.565,2613.75,0.459,2.00
10/15/2001,26.3197,132.565,2613.75,0.4385,2.00
10/22/2001,26.3197,132.565,2613.75,0.425,2.00
10/29/2001,26.3197,132.565,2613.75,0.4365,2.00
10/1/2002,26.9941,119.59,4029.33,0.5655,2.00
10/8/2002,26.9941,119.59,4029.33,0.5825,2.00
10/15/2002,26.9941,119.59,4029.33,0.697,2.00
10/22/2002,26.9941,119.59,4029.33,0.641,2.00
10/29/2002,26.9941,119.59,4029.33,0.629,2.00
10/1/2003,26.2036,107.933,2406.08,0.6515,2.00
10/8/2003,26.2036,107.933,2406.08,0.6265,2.00
10/15/2003,26.2036,107.933,2406.08,0.6105,2.00
10/22/2003,26.2036,107.933,2406.08,0.6185,2.00
10/29/2003,26.2036,107.933,2406.08,0.613,2.00
4/1/2008,25.177,200.521,4207.50,1.291,2.00
4/8/2008,25.177,200.521,4207.50,1.332,2.00
4/15/2008,25.177,200.521,4207.50,1.342,2.00
4/22/2008,25.177,200.521,4207.50,1.353,2.00
4/29/2008,25.177,200.521,4207.50,1.3492,2.00
11/3/2008,26.1698,158.431,4207.50,1.1235,2.00
11/10/2008,26.1698,158.431,4207.50,1.128,2.00
11/17/2008,26.1698,158.431,4207.50,1.1055,2.00
11/24/2008,26.1698,158.431,4207.50,1.1257,2.00
12/1/1998,26.2946,203.727,3063.42,1.0885,3.00
12/8/1998,26.2946,203.727,3063.42,1.1185,3.00
12/15/1998,26.2946,203.727,3063.42,1.212,3.00
12/22/1998,26.2946,203.727,3063.42,1.1605,3.00
12/29/1998,26.2946,203.727,3063.42,1.168,3.00
12/1/1999,26.1328,228.322,3964.83,1.3085,3.00
12/8/1999,26.1328,228.322,3964.83,1.291,3.00
12/15/1999,26.1328,228.322,3964.83,1.2835,3.00
12/22/1999,26.1328,228.322,3964.83,1.1765,3.00
12/29/1999,26.1328,228.322,3964.83,1.2,3.00
12/1/2000,25.9276,215.711,2609.17,0.7165,3.00
12/8/2000,25.9276,215.711,2609.17,0.68,3.00
12/15/2000,25.9276,215.711,2609.17,0.667,3.00
12/22/2000,25.9276,215.711,2609.17,0.654,3.00
12/29/2000,25.9276,215.711,2609.17,0.6555,3.00
12/3/2001,26.039,225.24,2613.75,0.461,3.00
12/10/2001,26.039,225.24,2613.75,0.4685,3.00
12/17/2001,26.039,225.24,2613.75,0.4635,3.00
12/27/2001,26.039,225.24,2613.75,0.465,3.00
12/2/2002,26.3824,237.288,4029.33,0.7285,3.00
12/9/2002,26.3824,237.288,4029.33,0.663,3.00
12/16/2002,26.3824,237.288,4029.33,0.6125,3.00
12/23/2002,26.3824,237.288,4029.33,0.6145,3.00
12/30/2002,26.3824,237.288,4029.33,0.6135,3.00
12/1/2003,26.5912,161.256,2406.08,0.624,3.00
12/8/2003,26.5912,161.256,2406.08,0.6645,3.00
12/15/2003,26.5912,161.256,2406.08,0.622,3.00
12/22/2003,26.5912,161.256,2406.08,0.641,3.00
12/29/2003,26.5912,161.256,2406.08,0.6395,3.00
12/1/2005,25.9458,245.874,2744.42,0.9645,3.00
12/8/2005,25.9458,245.874,2744.42,0.962,3.00
12/15/2005,25.9458,245.874,2744.42,0.9785,3.00
12/22/2005,25.9458,245.874,2744.42,1.028,3.00
12/29/2005,25.9458,245.874,2744.42,1.069,3.00
12/2/1991,25.9974,162.671,2274.42,0.854,4.00
12/9/1991,25.9974,162.671,2274.42,0.8015,4.00
12/16/1991,25.9974,162.671,2274.42,0.788,4.00
12/23/1991,25.9974,162.671,2274.42,0.784,4.00
10/1/1993,25.9872,122.421,2347.25,0.735,4.00
10/8/1993,25.9872,122.421,2347.25,0.741,4.00
10/15/1993,25.9872,122.421,2347.25,0.751,4.00
10/22/1993,25.9872,122.421,2347.25,0.7715,4.00
10/29/1993,25.9872,122.421,2347.25,0.793,4.00
11/1/1991,25.9412,133.443,2274.42,0.788,5.00
11/8/1991,25.9412,133.443,2274.42,0.787,5.00
11/15/1991,25.9412,133.443,2274.42,0.7865,5.00
11/22/1991,25.9412,133.443,2274.42,0.796,5.00
9/1/1992,24.4257,95.8098,2883.58,0.547,5.00
9/8/1992,24.4257,95.8098,2883.58,0.5345,5.00
9/15/1992,24.4257,95.8098,2883.58,0.5215,5.00
9/22/1992,24.4257,95.8098,2883.58,0.5685,5.00
9/29/1992,24.4257,95.8098,2883.58,0.541,5.00
1/3/1994,25.5448,265.248,2347.25,0.725,5.00
1/10/1994,25.5448,265.248,2347.25,0.7305,5.00
1/17/1994,25.5448,265.248,2347.25,0.737,5.00
1/24/1994,25.5448,265.248,2347.25,0.7465,5.00
1/31/1994,25.5448,265.248,2347.25,0.7235,5.00
10/1/1992,25.5879,117.602,2883.58,0.567,6.00
10/8/1992,25.5879,117.602,2883.58,0.604,6.00
10/15/1992,25.5879,117.602,2883.58,0.6285,6.00
10/22/1992,25.5879,117.602,2883.58,0.6595,6.00
10/29/1992,25.5879,117.602,2883.58,0.6715,6.00
2/1/1994,25.7423,217.778,2347.25,0.724,6.00
2/8/1994,25.7423,217.778,2347.25,0.7595,6.00
2/15/1994,25.7423,217.778,2347.25,0.765,6.00
2/22/1994,25.7423,217.778,2347.25,0.763,6.00
5/1/2008,24.0721,136.21,4207.50,1.2925,6.00
5/8/2008,24.0721,136.21,4207.50,1.3455,6.00
5/15/2008,24.0721,136.21,4207.50,1.368,6.00
5/22/2008,24.0721,136.21,4207.50,1.342,6.00
5/29/2008,24.0721,136.21,4207.50,1.325,6.00
6/2/2008,23.3609,78.7739,4207.50,1.3735,7.00
6/9/2008,23.3609,78.7739,4207.50,1.3105,7.00
6/16/2008,23.3609,78.7739,4207.50,1.3605,7.00
6/23/2008,23.3609,78.7739,4207.50,1.438,7.00
6/30/2008,23.3609,78.7739,4207.50,1.5274,7.00
9/2/2008,25.5867,72.8734,4207.50,1.4445,7.00
9/9/2008,25.5867,72.8734,4207.50,1.401,7.00
9/16/2008,25.5867,72.8734,4207.50,1.334,7.00
9/23/2008,25.5867,72.8734,4207.50,1.349,7.00
9/30/2008,25.5867,72.8734,4207.50,1.3045,7.00
10/1/1991,25.5752,96.1997,2274.42,0.812,8.00
10/8/1991,25.5752,96.1997,2274.42,0.803,8.00
10/15/1991,25.5752,96.1997,2274.42,0.799,8.00
10/22/1991,25.5752,96.1997,2274.42,0.836,8.00
9/1/1993,25.0619,84.6527,2347.25,0.7895,8.00
9/8/1993,25.0619,84.6527,2347.25,0.788,8.00
9/15/1993,25.0619,84.6527,2347.25,0.821,8.00
9/22/1993,25.0619,84.6527,2347.25,0.7855,8.00
9/29/1993,25.0619,84.6527,2347.25,0.7565,8.00
3/1/1994,25.4517,258.888,2347.25,0.7665,8.00
3/8/1994,25.4517,258.888,2347.25,0.7865,8.00
3/15/1994,25.4517,258.888,2347.25,0.814,8.00
3/22/1994,25.4517,258.888,2347.25,0.829,8.00
3/29/1994,25.4517,258.888,2347.25,0.812,8.00
1/4/1999,26.1067,245.532,3063.42,1.226,8.00
1/11/1999,26.1067,245.532,3063.42,1.1995,8.00
1/19/1999,26.1067,245.532,3063.42,1.0655,8.00
1/25/1999,26.1067,245.532,3063.42,1.058,8.00
1/3/2000,25.9065,255.086,3964.83,1.165,8.00
1/10/2000,25.9065,255.086,3964.83,1.1755,8.00
1/18/2000,25.9065,255.086,3964.83,1.1575,8.00
1/25/2000,25.9065,255.086,3964.83,1.1285,8.00
1/2/2001,25.8022,212.125,2609.17,0.634,8.00
1/9/2001,25.8022,212.125,2609.17,0.638,8.00
1/16/2001,25.8022,212.125,2609.17,0.674,8.00
1/23/2001,25.8022,212.125,2609.17,0.6985,8.00
1/30/2001,25.8022,212.125,2609.17,0.642,8.00
1/2/2002,25.9703,272.975,2613.75,0.4735,8.00
1/9/2002,25.9703,272.975,2613.75,0.5085,8.00
1/15/2002,25.9703,272.975,2613.75,0.5025,8.00
1/22/2002,25.9703,272.975,2613.75,0.468,8.00
1/29/2002,25.9703,272.975,2613.75,0.447,8.00
1/2/2003,26.3988,214.464,4029.33,0.6165,8.00
1/9/2003,26.3988,214.464,4029.33,0.627,8.00
1/16/2003,26.3988,214.464,4029.33,0.6585,8.00
1/23/2003,26.3988,214.464,4029.33,0.682,8.00
1/30/2003,26.3988,214.464,4029.33,0.6395,8.00
1/5/2004,26.1081,267.688,2406.08,0.686,8.00
1/12/2004,26.1081,267.688,2406.08,0.708,8.00
1/20/2004,26.1081,267.688,2406.08,0.708,8.00
1/26/2004,26.1081,267.688,2406.08,0.7735,8.00
1/3/2006,26.5366,212.477,2744.42,1.086,8.00
1/10/2006,26.5366,212.477,2744.42,1.191,8.00
1/17/2006,26.5366,212.477,2744.42,1.238,8.00
1/24/2006,26.5366,212.477,2744.42,1.224,8.00
1/31/2006,26.5366,212.477,2744.42,1.182,8.00
10/1/2008,26.843,117.422,4207.50,1.291,8.00
10/8/2008,26.843,117.422,4207.50,1.1455,8.00
10/15/2008,26.843,117.422,4207.50,1.1325,8.00
10/22/2008,26.843,117.422,4207.50,1.126,8.00
10/29/2008,26.843,117.422,4207.50,1.122,8.00
2/1/1995,26.0212,227.673,2349.33,1.5575,9.00
2/8/1995,26.0212,227.673,2349.33,1.5685,9.00
2/15/1995,26.0212,227.673,2349.33,1.6525,9.00
2/22/1995,26.0212,227.673,2349.33,1.6915,9.00
2/1/1999,26.0443,215.181,3063.42,1.0555,9.00
2/8/1999,26.0443,215.181,3063.42,1.04,9.00
2/16/1999,26.0443,215.181,3063.42,1.0095,9.00
2/22/1999,26.0443,215.181,3063.42,1.028,9.00
2/1/2000,25.7341,262.415,3964.83,1.1165,9.00
2/8/2000,25.7341,262.415,3964.83,1.0855,9.00
2/15/2000,25.7341,262.415,3964.83,1.058,9.00
2/22/2000,25.7341,262.415,3964.83,1.032,9.00
2/29/2000,25.7341,262.415,3964.83,1.003,9.00
2/1/2001,26.1029,210.466,2609.17,0.647,9.00
2/8/2001,26.1029,210.466,2609.17,0.62,9.00
2/15/2001,26.1029,210.466,2609.17,0.615,9.00
2/22/2001,26.1029,210.466,2609.17,0.6285,9.00
2/1/2002,26.0612,212.288,2613.75,0.4545,9.00
2/8/2002,26.0612,212.288,2613.75,0.4455,9.00
2/15/2002,26.0612,212.288,2613.75,0.441,9.00
2/22/2002,26.0612,212.288,2613.75,0.48,9.00
2/3/2003,26.4573,232.662,4029.33,0.6615,9.00
2/10/2003,26.4573,232.662,4029.33,0.668,9.00
2/19/2003,26.4573,232.662,4029.33,0.6115,9.00
2/24/2003,26.4573,232.662,4029.33,0.6,9.00
2/2/2004,25.7854,270.303,2406.08,0.7495,9.00
2/9/2004,25.7854,270.303,2406.08,0.715,9.00
2/17/2004,25.7854,270.303,2406.08,0.743,9.00
2/23/2004,25.7854,270.303,2406.08,0.6975,9.00
3/1/2018,26.027,202,4250.00,1.2395,9.00
3/8/2018,26.027,202,4250.00,1.203,9.00
3/15/2018,26.027,202,4250.00,1.1875,9.00
3/22/2018,26.027,202,4250.00,1.19,9.00
3/29/2018,26.027,202,4250.00,1.1815,9.00
11/2/1992,25.3478,169.348,2883.58,0.678,11.00
11/9/1992,25.3478,169.348,2883.58,0.6195,11.00
11/16/1992,25.3478,169.348,2883.58,0.725,11.00
11/23/1992,25.3478,169.348,2883.58,0.7001,11.00
11/30/1992,25.3478,169.348,2883.58,0.7278,11.00
2/1/2006,26.275,226.571,2744.42,1.1725,12.00
2/8/2006,26.275,226.571,2744.42,1.1345,12.00
2/15/2006,26.275,226.571,2744.42,1.078,12.00
2/22/2006,26.275,226.571,2744.42,1.095,12.00
1/1/1991,25.643,260.878,2273.83,0.8805,15.00
1/8/1991,25.643,260.878,2273.83,0.9045,15.00
1/15/1991,25.643,260.878,2273.83,0.861,15.00
1/22/1991,25.643,260.878,2273.83,0.867,15.00
1/29/1991,25.643,260.878,2273.83,0.8315,15.00
9/1/1995,25.7505,66.9051,1505.00,1.5115,15.00
9/8/1995,25.7505,66.9051,1505.00,1.3685,15.00
9/15/1995,25.7505,66.9051,1505.00,1.2975,15.00
9/22/1995,25.7505,66.9051,1505.00,1.256,15.00
9/29/1995,25.7505,66.9051,1505.00,1.1725,15.00
9/1/1998,25.7172,78.6213,3063.42,1.136,16.00
9/8/1998,25.7172,78.6213,3063.42,1.1565,16.00
9/15/1998,25.7172,78.6213,3063.42,1.046,16.00
9/22/1998,25.7172,78.6213,3063.42,1.0285,16.00
9/29/1998,25.7172,78.6213,3063.42,1.057,16.00
9/1/1999,25.5916,83.7153,3964.83,0.9425,16.00
9/8/1999,25.5916,83.7153,3964.83,0.908,16.00
9/15/1999,25.5916,83.7153,3964.83,0.845,16.00
9/22/1999,25.5916,83.7153,3964.83,0.818,16.00
9/29/1999,25.5916,83.7153,3964.83,0.867,16.00
9/1/2000,25.1845,108.85,2609.17,0.8035,16.00
9/8/2000,25.1845,108.85,2609.17,0.823,16.00
9/15/2000,25.1845,108.85,2609.17,0.8125,16.00
9/22/2000,25.1845,108.85,2609.17,0.78,16.00
9/29/2000,25.1845,108.85,2609.17,0.83,16.00
9/4/2001,25.6916,87.8372,2613.75,0.5105,16.00
9/17/2001,25.6916,87.8372,2613.75,0.5085,16.00
9/26/2001,25.6916,87.8372,2613.75,0.4915,16.00
9/3/2002,25.689,72.054,4029.33,0.5585,16.00
9/10/2002,25.689,72.054,4029.33,0.5995,16.00
9/17/2002,25.689,72.054,4029.33,0.617,16.00
9/24/2002,25.689,72.054,4029.33,0.5485,16.00
9/2/2003,25.5222,84.83,2406.08,0.637,16.00
9/9/2003,25.5222,84.83,2406.08,0.7085,16.00
9/16/2003,25.5222,84.83,2406.08,0.626,16.00
9/23/2003,25.5222,84.83,2406.08,0.642,16.00
9/30/2003,25.5222,84.83,2406.08,0.629,16.00
3/1/2006,26.1044,256.832,2744.42,1.1405,16.00
3/8/2006,26.1044,256.832,2744.42,1.0865,16.00
3/15/2006,26.1044,256.832,2744.42,1.0875,16.00
3/22/2006,26.1044,256.832,2744.42,1.0415,16.00
3/29/2006,26.1044,256.832,2744.42,1.0435,16.00
7/1/2008,24.2316,54.1944,4207.50,1.5535,16.00
7/8/2008,24.2316,54.1944,4207.50,1.424,16.00
7/15/2008,24.2316,54.1944,4207.50,1.407,16.00
7/22/2008,24.2316,54.1944,4207.50,1.3745,16.00
7/29/2008,24.2316,54.1944,4207.50,1.364,16.00
8/1/2008,25.2559,55.0211,4207.50,1.4015,16.00
8/8/2008,25.2559,55.0211,4207.50,1.358,16.00
8/15/2008,25.2559,55.0211,4207.50,1.3285,16.00
8/22/2008,25.2559,55.0211,4207.50,1.4025,16.00
8/29/2008,25.2559,55.0211,4207.50,1.4498,16.00
12/2/2008,26.0047,234.8,4207.50,1.119,16.00
12/9/2008,26.0047,234.8,4207.50,1.0985,16.00
